Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC[C@H](CC[C@H]([C@H]1NN(CC1=CC1C[C@H](CC2=C(C1)OCC2)[C@H](CC(=O)O)C)C[C@@H](C1C=CC=CC=C1)N)C)O,C32H49N3O5,555.75,40,0,0.66,12,8,5,166.53,128.28,3.90,0.62,2.94,2.58,2.83,2.57,-2.88,7.25e-01,1.31e-03,Soluble,-2.89,7.18e-01,1.29e-03,Soluble,-2.57,1.50e+00,2.70e-03,Soluble,High,No,No,No,No,No,No,No,-9.25,1,3,1,0,0,0.55,0,1,2,6.94
Molecule 2,O=C1N[C@@H]([C@@H]2[C@H]1O[C@@H]1[C@@H]2COC1)C[C@H]1CCC(=NC2CCCC2)C(=C1)C,C21H30N2O3,358.47,26,0,0.81,3,4,1,104.79,59.92,3.38,1.82,2.26,1.79,3.29,2.51,-3.01,3.49e-01,9.75e-04,Soluble,-2.70,7.18e-01,2.00e-03,Soluble,-3.48,1.17e-01,3.27e-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.19,0,0,0,0,0,0.55,0,1,1,5.15
Molecule 3,NCCCC1=C[C@@H]2C(=CC1)/C/1=C/c3c(O)ccc4c3N[C@@H](CCC[C@H]([C@H]1N2)C(=O)O)C4,C25H31N3O3,421.53,31,6,0.48,4,5,5,129.66,107.61,2.76,-0.51,2.27,2.44,2.16,1.82,-2.01,4.11e+00,9.74e-03,Soluble,-1.28,2.20e+01,5.23e-02,Very soluble,-4.55,1.20e-02,2.84e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-9.23,0,0,0,0,0,0.55,0,1,1,6.11
Molecule 4,CONCNC(=N[C@H](Cc1cc(N)ccc1C(=O)O)CN)C=CC(C)C,C18H29N5O3,363.45,26,6,0.44,11,6,5,103.45,134.99,2.37,-1.43,1.15,0.71,1.42,0.84,-0.64,8.38e+01,2.31e-01,Very soluble,-0.90,4.55e+01,1.25e-01,Very soluble,-3.50,1.14e-01,3.13e-04,Soluble,High,No,No,No,No,No,No,No,-9.53,0,0,1,1,0,0.55,0,5,2,4.21
Molecule 5,CC[C@H](CC(=O)N([C@H]1CC2=CCN(C[C@@H]12)C)CCN[C@H]1CCC[C@H]2O[C@H](CN3[C@H](O1)C[C@@H]3OO)C(C2(O)O)(O)O)CC(=O)O,C29H48N4O11,628.71,44,0,0.86,12,14,7,161.31,204.96,2.49,-4.34,-1.70,-1.00,-2.57,-1.42,-0.21,3.86e+02,6.14e-01,Very soluble,0.65,2.80e+03,4.45e+00,Highly soluble,0.50,2.00e+03,3.18e+00,Soluble,Low,No,No,No,No,No,No,No,-13.22,3,4,2,1,5,0.17,0,3,2,8.33
Molecule 6,CC[C@@H](NO[C@@H](C[C@H]1CC=CC[C@@]1(O)NNC(=O)N)CNCCC1N=CNC(=O)[C@@H]1C)CCC[C@H](CC=C(CC(=O)O)O)O,C29H51N7O8,625.76,44,0,0.72,22,12,10,171.56,239.89,2.80,-2.25,0.09,0.36,0.41,0.28,-0.85,8.84e+01,1.41e-01,Very soluble,-2.25,3.49e+00,5.57e-03,Soluble,-3.15,4.46e-01,7.13e-04,Soluble,Low,No,No,No,No,No,No,No,-11.71,3,3,2,1,6,0.17,0,4,2,7.27
Molecule 7,CCCCCN=C1[C@@H](C)OCN[C@@H](CCC[C@@H]2N(/C=N\C1=O)[C@@H]([C@@H](CC[C@H](NC(=O)CC)CO)C)[C@H](O2)O)CC(=O)O,C29H51N5O8,597.74,42,0,0.83,14,11,5,170.98,182.38,3.60,-0.53,0.66,0.71,2.52,1.39,-2.29,3.08e+00,5.15e-03,Soluble,-2.83,8.82e-01,1.48e-03,Soluble,-3.88,7.84e-02,1.31e-04,Soluble,Low,No,Yes,No,No,No,No,No,-10.32,2,3,2,1,2,0.17,0,1,2,7.60
Molecule 8,CCC1CC(CN1[C@@H]1OCC(=CC(=O)O)C1)Nc1cc2CCC=Cc2cc1N,C22H29N3O3,383.48,28,6,0.50,5,4,3,115.74,87.82,2.93,0.72,2.58,2.29,2.07,2.12,-2.50,1.21e+00,3.16e-03,Soluble,-2.14,2.76e+00,7.20e-03,Soluble,-3.47,1.31e-01,3.42e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-8.13,0,0,0,0,0,0.55,0,2,1,4.84
Molecule 9,COCCCN(C=C1CC(SC1=O)CN=C(CC(=O)N=CC)NCN)CCC,C19H33N5O3S,411.56,28,0,0.68,14,6,2,115.71,134.68,2.80,0.51,1.56,0.39,3.23,1.70,-1.79,6.69e+00,1.63e-02,Very soluble,-2.91,5.08e-01,1.23e-03,Soluble,-4.00,4.07e-02,9.89e-05,Moderately soluble,High,No,Yes,No,Yes,No,No,No,-8.45,0,0,1,1,0,0.55,0,5,2,4.92
Molecule 10,CC(=O)NC(=O)[C@H]1[C@@H](O[C@@H]2[C@@H]1CC[C@H]2c1ccc(cc1)F)C(=O)NC(=O)[C@H](O)C,C20H23FN2O6,406.40,29,6,0.50,8,7,3,98.28,121.80,1.30,0.49,0.81,1.24,1.40,1.05,-2.29,2.07e+00,5.09e-03,Soluble,-2.62,9.81e-01,2.41e-03,Soluble,-3.27,2.20e-01,5.42e-04,Soluble,High,No,Yes,No,No,No,No,Yes,-8.43,0,0,0,0,0,0.55,0,0,2,4.39
